,file,shot,start_s,end_s,start,end
0,5245830105934359183.xml,1,0.0,20.21,00:00:00:00,00:00:20:21
1,5245830105934359183.xml,2,20.22,23.2,00:00:20:22,00:00:23:20
2,5245830105934359183.xml,3,23.21,25.14,00:00:23:21,00:00:25:14
3,5245830105934359183.xml,4,25.15,26.2,00:00:25:15,00:00:26:20
4,5245830105934359183.xml,5,26.21,30.03,00:00:26:21,00:00:30:03
5,5245830105934359183.xml,6,30.04,32.1,00:00:30:04,00:00:32:10
6,5245830105934359183.xml,7,32.11,35.13,00:00:32:11,00:00:35:13
7,5245830105934359183.xml,8,35.14,38.22,00:00:35:14,00:00:38:22
8,5245830105934359183.xml,9,38.23,51.01,00:00:38:23,00:00:51:01
9,5245830105934359183.xml,10,51.02,54.15,00:00:51:02,00:00:54:15
10,5245830105934359183.xml,11,54.16,57.17,00:00:54:16,00:00:57:17
11,5245830105934359183.xml,12,57.18,61.14,00:00:57:18,00:01:01:14
12,5245830105934359183.xml,13,61.15,63.05,00:01:01:15,00:01:03:05
13,5245830105934359183.xml,14,63.06,64.23,00:01:03:06,00:01:04:23
14,5245830105934359183.xml,15,64.24,67.05,00:01:04:24,00:01:07:05
15,5245830105934359183.xml,16,67.06,68.07,00:01:07:06,00:01:08:07
16,5245830105934359183.xml,17,68.08,71.06,00:01:08:08,00:01:11:06
17,5245830105934359183.xml,18,71.07,72.17,00:01:11:07,00:01:12:17
18,5245830105934359183.xml,19,72.18,74.09,00:01:12:18,00:01:14:09
19,5245830105934359183.xml,20,74.1,79.14,00:01:14:10,00:01:19:14
20,5245830105934359183.xml,21,79.15,81.16,00:01:19:15,00:01:21:16
21,5245830105934359183.xml,22,81.17,84.1,00:01:21:17,00:01:24:10
22,5245830105934359183.xml,23,84.11,86.13,00:01:24:11,00:01:26:13
23,5245830105934359183.xml,24,86.14,93.04,00:01:26:14,00:01:33:04
24,5245830105934359183.xml,25,93.05,95.12,00:01:33:05,00:01:35:12
